Claim_ID,Policy_ID,Customer_ID,Accident_Date,FNOL_Date,Claim_Type,Estimated_Claim_Amount,Ultimate_Claim_Amount,Settlement_Date,Traffic_Condition,Weather_Condition
CLM_000001,POL_000001,CUST_77820,2020-03-02,2020-03-06,fire,8761.43,11509.99,2020-06-26,Low,Rainy
CLM_000002,POL_000002,CUST_88498,2023-01-09,2023-01-10,fire,12896.76,15470.0,2023-03-21,Low,Rainy
CLM_000003,POL_000003,CUST_60735,2022-12-25,2022-12-26,collision,12698.97,13500.0,2023-02-01,Low,Rainy
CLM_000004,POL_000003,CUST_60735,2021-11-24,2021-11-29,vandalism,2738.35,2714.92,2021-12-13,Moderate,Stormy
CLM_000005,POL_000003,CUST_60735,2022-10-01,2022-10-08,collision,16262.58,,2022-12-06,Moderate,Rainy
CLM_000006,POL_000004,CUST_54707,2020-11-11,2020-11-13,glass,2218.88,1997.65,2020-12-01,Low,Rainy
CLM_000007,POL_000005,CUST_26658,2024-04-26,2024-04-29,glass,827.79,,2024-05-12,Moderate,Stormy
CLM_000008,POL_000006,CUST_66725,2023-05-16,2023-05-18,glass,1530.74,1625.63,2023-06-05,High,Stormy
CLM_000009,POL_000007,CUST_57886,2024-01-16,2024-01-30,collision,5967.76,6920.57,2024-03-05,Moderate,Rainy
CLM_000010,POL_000008,CUST_81038,2024-03-09,2024-03-10,glass,1024.81,925.49,2024-03-28,Moderate,Rainy
CLM_000011,POL_000009,CUST_74969,2020-01-25,2020-02-08,animal_collision,5018.09,4325.08,2020-04-01,High,Foggy
CLM_000012,POL_000010,CUST_24483,2021-09-20,2021-09-21,collision,9930.83,8362.14,2021-12-10,Moderate,Rainy
CLM_000013,POL_000011,CUST_36920,2022-09-10,2022-09-11,theft,20498.85,22215.31,2022-12-15,Moderate,Snowy
CLM_000014,POL_000012,CUST_79953,2024-08-25,2024-08-25,theft,13736.26,27472.52,2024-12-21,High,Snowy
CLM_000015,POL_000013,CUST_73409,2023-09-11,2023-09-12,glass,2010.4,1660.69,2023-09-19,Moderate,Rainy
CLM_000016,POL_000013,CUST_73409,2021-04-29,2021-04-29,fire,15984.18,12000.0,2021-07-15,,Snowy
CLM_000017,POL_000013,CUST_73409,2021-05-23,2021-05-24,collision,15058.45,13643.66,2021-07-11,Moderate,Foggy
CLM_000018,POL_000014,CUST_33606,2022-02-13,2022-02-16,collision,14153.39,13386.82,2022-04-28,High,Rainy
CLM_000019,POL_000015,CUST_90812,2020-04-01,2020-04-03,collision,19101.18,,2020-05-12,Moderate,Snowy
CLM_000020,POL_000016,CUST_39044,2024-01-18,2024-01-21,glass,1812.28,1800.0,2024-02-03,Moderate,Rainy
CLM_000021,POL_000017,CUST_68563,2022-04-28,2022-04-29,collision,10786.08,8791.57,2022-07-24,Severe,Snowy
CLM_000022,POL_000018,CUST_40504,2021-10-11,2021-10-12,fire,62747.79,57375.46,2022-02-24,Moderate,Foggy
CLM_000023,POL_000019,CUST_27854,2023-07-04,2023-07-05,collision,7265.07,9506.27,2023-09-16,Low,Foggy
CLM_000024,POL_000019,CUST_27854,2020-03-28,2020-03-30,fire,7515.58,15031.15,2020-08-18,Low,Snowy
CLM_000025,POL_000020,CUST_31535,2024-06-19,2024-06-21,glass,676.09,600.0,2024-07-01,High,Rainy
CLM_000026,POL_000021,CUST_97354,2020-03-05,2020-03-08,glass,685.83,600.0,2020-03-17,Moderate,Clear
CLM_000027,POL_000022,CUST_99018,2022-08-11,2022-08-12,bodily_injury,64270.87,44111.93,2022-12-28,High,Rainy
CLM_000028,POL_000023,CUST_91982,2021-06-19,2021-06-20,collision,4759.44,3971.59,2021-08-28,Moderate,Stormy
CLM_000029,POL_000024,CUST_24419,2024-08-11,2024-08-12,collision,14134.42,16500.0,2024-11-05,High,Stormy
CLM_000030,POL_000025,CUST_55268,2020-10-21,2020-10-23,collision,3591.04,4566.03,2020-11-25,Moderate,Stormy
CLM_000031,POL_000026,CUST_57044,2020-06-22,2020-06-22,collision,12365.52,16064.64,2020-09-17,Severe,Snowy
CLM_000032,POL_000027,CUST_63623,2024-06-23,2024-06-25,bodily_injury,55605.28,111210.56,2025-03-20,Moderate,Rainy
CLM_000033,POL_000027,CUST_63623,2020-02-24,2020-02-25,collision,20550.47,23400.0,2020-05-01,High,Snowy
CLM_000034,POL_000028,CUST_65044,2022-12-04,2022-12-05,collision,4400.78,4860.96,2023-02-02,Moderate,Snowy
CLM_000035,POL_000029,CUST_70163,2020-09-18,2020-09-25,fire,28800.02,46460.1,2021-02-15,Moderate,Snowy
CLM_000036,POL_000030,CUST_24776,2020-02-11,2020-02-13,vandalism,3128.66,3576.75,2020-02-29,Low,Snowy
CLM_000037,POL_000031,CUST_10474,2023-12-31,2024-01-01,theft,30614.09,28887.2,2024-03-01,Moderate,Rainy
CLM_000038,POL_000032,CUST_04748,2024-09-03,2024-09-05,theft,37699.73,29235.37,2024-11-21,Moderate,Snowy
CLM_000039,POL_000033,CUST_74530,2024-10-29,2024-10-30,bodily_injury,29279.44,25916.85,2025-04-26,Low,Clear
CLM_000040,POL_000034,CUST_40353,2022-10-21,2022-10-22,collision,10848.28,10370.46,2023-01-03,High,Rainy
CLM_000041,POL_000034,CUST_40353,2023-10-24,2023-10-25,glass,2424.78,2200.0,2023-11-11,Low,Snowy
CLM_000042,POL_000035,CUST_94264,2023-01-03,2023-01-07,collision,11728.84,8514.93,2023-03-07,High,Rainy
CLM_000043,POL_000036,CUST_39623,2024-09-26,2024-09-28,collision,20682.79,29700.0,2024-11-05,Moderate,Clear
CLM_000044,POL_000037,CUST_27309,2023-07-06,2023-07-07,collision,14013.58,15000.0,2023-08-24,Moderate,Snowy
CLM_000045,POL_000038,CUST_26342,2022-06-19,2022-06-20,theft,10804.72,19685.0,2022-08-24,Moderate,Foggy
CLM_000046,POL_000039,CUST_81623,2024-01-19,2024-01-21,glass,799.82,761.11,2024-02-05,Moderate,Snowy
CLM_000047,POL_000039,CUST_81623,2022-05-09,2022-05-10,bodily_injury,30969.61,31707.66,2022-09-03,Low,Foggy
CLM_000048,POL_000040,CUST_52663,2022-07-31,2022-08-02,collision,5995.36,7525.46,2022-10-22,Low,Rainy
CLM_000049,POL_000041,CUST_35754,2020-05-18,2020-06-01,vandalism,1142.48,1336.61,2020-06-28,High,Clear
CLM_000050,POL_000042,CUST_09680,2020-07-02,2020-07-03,animal_collision,8292.97,10400.0,2020-08-09,Moderate,Rainy
CLM_000051,POL_000043,CUST_38504,2022-07-13,2022-07-14,glass,2655.11,2217.72,2022-07-23,High,Rainy
CLM_000052,POL_000044,CUST_48254,2024-07-23,2024-07-25,collision,6323.15,8392.65,2024-10-02,High,Foggy
CLM_000053,POL_000045,CUST_97601,2021-04-15,2021-04-16,collision,4463.98,4215.96,2021-06-23,,Foggy
CLM_000054,POL_000046,CUST_32616,2022-05-19,2022-05-21,bodily_injury,46529.83,35181.43,2023-03-18,High,Clear
CLM_000055,POL_000047,CUST_08400,2023-12-28,2023-12-29,collision,13849.2,10947.96,2024-01-31,Moderate,Clear
CLM_000056,POL_000048,CUST_05499,2020-11-08,2020-11-09,glass,1384.4,1401.25,2020-11-25,Moderate,Foggy
CLM_000057,POL_000049,CUST_33711,2020-06-25,2020-06-29,theft,10702.35,12331.4,2020-09-09,Moderate,Foggy
CLM_000058,POL_000050,CUST_03557,2023-02-17,2023-02-20,collision,9873.86,9051.13,2023-04-22,High,Clear
CLM_000059,POL_000051,CUST_47975,2024-08-21,2024-08-22,theft,46447.11,38500.0,2024-12-07,Moderate,Rainy
CLM_000060,POL_000052,CUST_95179,2021-07-24,2021-08-23,bodily_injury,14987.12,19500.0,2022-08-21,Moderate,Rainy
CLM_000061,POL_000053,CUST_04987,2021-01-09,2021-01-10,vandalism,5820.48,5658.96,2021-01-31,Low,Foggy
CLM_000062,POL_000054,CUST_71271,2021-09-08,2021-09-10,theft,51547.88,42000.0,2021-11-10,Moderate,Clear
CLM_000063,POL_000055,CUST_46525,2020-01-10,2020-01-11,collision,6261.83,6591.95,2020-03-26,Moderate,Stormy
CLM_000064,POL_000056,CUST_48333,2022-11-16,2022-11-18,theft,15984.54,15778.53,2023-01-08,Moderate,Rainy
CLM_000065,POL_000057,CUST_49404,2022-02-09,2022-02-10,glass,1353.04,1296.67,2022-02-18,Severe,Foggy
CLM_000066,POL_000058,CUST_95660,2021-05-08,2021-05-09,bodily_injury,15638.69,31277.38,2021-11-22,Moderate,Stormy
CLM_000067,POL_000059,CUST_74744,2020-04-24,2020-05-08,collision,10438.26,10615.82,2020-06-13,,Stormy
CLM_000068,POL_000060,CUST_37212,2022-01-19,2022-01-20,theft,8047.63,7200.0,2022-04-26,High,Stormy
CLM_000069,POL_000060,CUST_37212,2022-01-09,2022-01-14,collision,12049.61,11108.93,2022-03-10,Moderate,Rainy
CLM_000070,POL_000060,CUST_37212,2024-08-10,2024-08-17,fire,35025.51,45000.0,2025-01-24,Severe,
CLM_000071,POL_000061,CUST_01301,2020-08-28,2020-08-31,collision,12650.45,13390.43,2020-11-15,Moderate,Foggy
CLM_000072,POL_000062,CUST_66726,2020-09-11,2020-09-16,fire,40296.57,32261.98,2020-11-20,,Clear
CLM_000073,POL_000063,CUST_86314,2022-09-14,2022-09-19,theft,14590.6,9557.1,2022-11-05,Moderate,Snowy
CLM_000074,POL_000064,CUST_52885,2022-12-08,2022-12-09,collision,5365.29,9437.92,2023-01-20,Moderate,Snowy
CLM_000075,POL_000065,CUST_57958,2022-11-02,2022-11-03,vandalism,2109.1,2510.25,2022-12-16,Low,Rainy
CLM_000076,POL_000066,CUST_79069,2023-07-30,2023-08-02,collision,3820.76,3960.0,2023-09-28,Severe,Snowy
CLM_000077,POL_000067,CUST_51993,2024-04-25,2024-04-27,animal_collision,3587.55,3394.93,2024-06-20,Moderate,Foggy
CLM_000078,POL_000068,CUST_90912,2023-01-17,2023-01-18,collision,6258.11,6889.05,2023-03-03,Severe,Rainy
CLM_000079,POL_000068,CUST_90912,2024-07-12,2024-07-13,bodily_injury,38798.93,77597.86,2025-05-26,High,Foggy
CLM_000080,POL_000068,CUST_90912,2020-06-23,2020-06-24,fire,79435.21,65000.0,2020-09-24,Severe,Rainy
