Policy_ID,Customer_ID,Date_of_Birth,Full_License_Issue_Date,Vehicle_Type,Vehicle_Year
POL_000001,CUST_77820,1983-04-20,2003-08-23,Sedan,2008
POL_000002,CUST_88498,1986-03-10,2007-07-26,Hatchback,2012
POL_000003,CUST_60735,1971-03-02,1989-07-05,Hatchback,2021
POL_000004,CUST_54707,1946-09-19,1968-01-12,Truck,2022
POL_000005,CUST_26658,1957-07-26,1977-08-07,SUV,2006
POL_000006,CUST_66725,1990-07-08,2011-03-05,Sedan,2008
POL_000007,CUST_57886,1948-04-13,1967-10-23,Minivan,2011
POL_000008,CUST_81038,1989-02-04,2008-11-07,Sedan,2014
POL_000009,CUST_74969,1964-02-16,1988-08-01,SUV,2009
POL_000010,CUST_24483,1947-03-17,1968-12-04,Sedan,2008
POL_000011,CUST_36920,1987-01-13,2005-02-11,Sedan,2009
POL_000012,CUST_79953,1950-11-07,1971-08-20,SUV,2017
POL_000013,CUST_73409,1966-08-04,1986-07-02,SUV,2005
POL_000014,CUST_33606,1951-10-27,1975-03-26,Sports_Car,2019
POL_000015,CUST_90812,1960-12-10,1982-06-03,SUV,2015
POL_000016,CUST_39044,1963-05-29,1983-10-19,Hatchback,2010
POL_000017,CUST_68563,1985-02-01,2006-10-26,Sedan,2022
POL_000018,CUST_40504,1982-04-12,2003-06-13,Truck,2004
POL_000019,CUST_27854,1974-09-25,1997-08-21,Truck,2013
POL_000020,CUST_31535,1993-05-25,2017-05-11,SUV,2014
POL_000021,CUST_97354,1993-05-30,2012-10-09,SUV,2018
POL_000022,CUST_99018,1970-01-28,1992-05-12,Sedan,2022
POL_000023,CUST_91982,1977-10-06,1998-07-26,Sedan,2009
POL_000024,CUST_24419,1940-08-14,1961-06-13,Sedan,2013
POL_000025,CUST_55268,1983-09-06,2004-01-12,SUV,2016
POL_000026,CUST_57044,1989-09-21,2014-08-23,SUV,2016
POL_000027,CUST_63623,1997-08-09,2018-06-29,SUV,2010
POL_000028,CUST_65044,1993-07-22,2016-07-10,Sedan,2021
POL_000029,CUST_70163,1970-11-11,1991-01-10,SUV,2011
POL_000030,CUST_24776,1967-11-28,1989-08-08,Sedan,2016
